형태소,품사,분류,카운트
!,Foreign,5,1
!,Punctuation,1,5
!,Punctuation,2,1
!,Punctuation,3,6
!,Punctuation,4,58
!,Punctuation,5,340
!!,Punctuation,3,2
!!,Punctuation,4,20
!!,Punctuation,5,113
!!!,Punctuation,3,1
!!!,Punctuation,4,3
!!!,Punctuation,5,35
!!!!,Punctuation,4,1
!!!!,Punctuation,5,5
!!!!!,Punctuation,4,2
!!!!!!,Punctuation,4,1
!!!!!!!!!!!,Punctuation,5,1
!!^^,Punctuation,5,1
!!~,Punctuation,5,1
!),Punctuation,4,2
!),Punctuation,5,4
!.,Punctuation,5,1
!^^,Punctuation,5,4
!~,Punctuation,5,4
!~~,Punctuation,4,1
!~~,Punctuation,5,1
"""",Punctuation,4,2
"""",Punctuation,5,18
#room,Hashtag,5,1
#spgplatinum,Hashtag,5,1
#sweetroom,Hashtag,5,1
$,Punctuation,2,1
%,Foreign,5,1
&,Punctuation,4,4
&,Punctuation,5,6
',Punctuation,1,7
',Punctuation,4,3
',Punctuation,5,16
''',Punctuation,5,1
"',",Punctuation,5,1
"','",Punctuation,5,2
(,Punctuation,1,10
(,Punctuation,2,10
(,Punctuation,3,22
(,Punctuation,4,54
(,Punctuation,5,106
(?),Punctuation,1,2
(?),Punctuation,2,1
(?),Punctuation,3,2
(?),Punctuation,4,2
(?),Punctuation,5,5
"(?),",Punctuation,4,1
),Punctuation,1,9
),Punctuation,2,10
),Punctuation,3,16
),Punctuation,4,34
),Punctuation,5,91
)!,Punctuation,4,1
"),",Punctuation,3,4
"),",Punctuation,4,8
"),",Punctuation,5,1
).,Punctuation,3,1
).,Punctuation,4,6
).,Punctuation,5,7
):,Punctuation,5,1
*,Punctuation,3,4
*,Punctuation,4,5
*,Punctuation,5,5
**,Punctuation,4,2
*_*,Punctuation,5,1
+,Foreign,5,1
+,Punctuation,1,2
+,Punctuation,3,2
+,Punctuation,4,4
+,Punctuation,5,7
+_+,Punctuation,5,1
",",Punctuation,1,88
",",Punctuation,2,43
",",Punctuation,3,107
",",Punctuation,4,332
",",Punctuation,5,837
",",Punctuation,8,1
",,",Punctuation,3,1
",,",Punctuation,4,3
",,",Punctuation,5,6
",,,",Punctuation,4,2
",,,",Punctuation,5,2
",,,,,",Punctuation,1,1
",,,,,",Punctuation,4,1
-,Punctuation,1,9
-,Punctuation,3,6
-,Punctuation,4,6
-,Punctuation,5,30
-!,Punctuation,5,1
"-),",Punctuation,5,1
->,Punctuation,4,1
.,Foreign,5,1
.,Punctuation,1,401
.,Punctuation,2,197
.,Punctuation,3,465
.,Punctuation,4,1086
.,Punctuation,5,2728
.,Punctuation,8,3
.!,Punctuation,5,2
".""",Punctuation,5,2
.(,Punctuation,3,1
.(,Punctuation,4,3
.(,Punctuation,5,9
.),Punctuation,1,1
.),Punctuation,4,1
.),Punctuation,5,1
.+,Punctuation,5,1
".,",Punctuation,5,4
".,.",Punctuation,4,1
..,Punctuation,1,67
..,Punctuation,2,34
..,Punctuation,3,42
..,Punctuation,4,100
..,Punctuation,5,168
..,Punctuation,8,2
..!,Punctuation,4,1
..!,Punctuation,5,3
..!!,Punctuation,1,1
..!!,Punctuation,5,1
..(,Punctuation,3,1
..(,Punctuation,5,1
..),Punctuation,4,1
..),Punctuation,5,1
..)!,Punctuation,5,1
..+_+,Punctuation,5,1
...,Punctuation,1,40
...,Punctuation,2,20
...,Punctuation,3,30
...,Punctuation,4,49
...,Punctuation,5,74
...!!,Punctuation,5,1
...(,Punctuation,5,1
...),Punctuation,3,2
"...,",Punctuation,4,1
....,Punctuation,1,7
....,Punctuation,2,4
....,Punctuation,3,2
....,Punctuation,4,9
....,Punctuation,5,12
.....,Punctuation,1,3
.....,Punctuation,2,1
.....,Punctuation,4,4
.....,Punctuation,5,2
......,Punctuation,4,1
......,Punctuation,5,1
......),Punctuation,5,1
........,Punctuation,1,1
.........,Punctuation,1,1
.........,Punctuation,5,1
..........,Punctuation,1,1
...;),Punctuation,5,1
...^^,Punctuation,4,1
...^^..,Punctuation,4,1
..?,Punctuation,5,1
..^^,Punctuation,5,3
..^^;;,Punctuation,5,2
..~,Punctuation,4,1
.=,Punctuation,1,1
.?,Punctuation,3,1
.^^,Punctuation,5,13
.^^;,Punctuation,4,1
.^^;;;,Punctuation,3,1
.^^~~,Punctuation,5,1
.~,Punctuation,5,2
.~^^,Punctuation,5,1
/,Punctuation,1,2
/,Punctuation,2,1
/,Punctuation,3,2
/,Punctuation,4,10
/,Punctuation,5,10
0,Number,5,2
03~05,Number,3,1
07/05,Number,5,1
07/07,Number,5,1
1,Number,1,27
1,Number,2,10
1,Number,3,32
1,Number,4,47
1,Number,5,96
1,Number,8,1
1-9시,Number,4,1
1.5만원,Number,4,1
1/10,Number,5,1
10,Number,2,1
10,Number,3,6
10,Number,4,2
10,Number,5,12
10%,Number,4,1
10%,Number,5,3
"10,000",Number,3,1
"10,000원",Number,3,1
100,Number,2,1
100,Number,4,1
100,Number,5,12
100%,Number,4,1
100%,Number,5,15
1000,Number,5,1
1000일,Number,5,1
101,Number,1,1
10~15분,Number,5,1
10년,Number,1,1
10년,Number,4,2
10년,Number,5,1
10만원,Number,5,3
10분,Number,1,1
10분,Number,2,2
10분,Number,3,3
10분,Number,4,6
10분,Number,5,22
10시,Number,2,1
10시,Number,3,2
10시,Number,4,4
10시,Number,5,8
10월,Number,2,1
10월,Number,4,2
10월,Number,5,2
10일,Number,5,1
11,Number,3,1
11,Number,5,3
112,Number,5,1
11시,Number,1,1
11시,Number,2,3
11시,Number,3,1
11시,Number,4,1
11시,Number,5,6
11월,Number,4,1
11월,Number,5,7
12,Number,3,1
12,Number,5,4
120,Number,4,1
12분,Number,4,1
12시,Number,1,2
12시,Number,2,4
12시,Number,4,2
12시,Number,5,7
12월,Number,5,3
13,Number,5,1
"13,000",Number,3,1
"13,000원",Number,5,1
13000원,Number,5,1
131,Number,5,1
13시,Number,1,1
13시,Number,2,1
14,Number,4,1
14,Number,5,1
15,Number,4,1
15,Number,5,3
15%,Number,5,1
"15,000",Number,1,1
